word,label
Hi,GREETING
hi,GREETING
hello,GREETING
Hello,GREETING
hello!,GREETING
hey,GREETING
namaste,GREETING
Hey,GREETING
there,GREETING
Howdy,GREETING
Greetings,GREETING
Bye,GOODBYE
bye,GOODBYE
See,GOODBYE
you,GOODBYE
later,GOODBYE
see,GOODBYE
you,GOODBYE
later,GOODBYE
Goodbye,GOODBYE
goodbye,GOODBYE
Take,GOODBYE
care,GOODBYE
take,GOODBYE
care,GOODBYE
Farewell,GOODBYE
farewell,GOODBYE
Thanks,THANKS
thanks,THANKS
Thank,THANKS
you,THANKS
thank,THANKS
you,THANKS
That's,THANKS
helpful,THANKS
that's,THANKS
helpful,THANKS
Appreciate,THANKS
it,THANKS
appreciate,THANKS
it,THANKS
Who,FAMILY
is,FAMILY
your,FAMILY
father?,FAMILY
who,FAMILY
is,FAMILY
your,FAMILY
father?,FAMILY
What,FAMILY
is,FAMILY
your,FAMILY
father's,FAMILY
name?,FAMILY
what,FAMILY
is,FAMILY
your,FAMILY
father's,FAMILY
name?,FAMILY
What,FAMILY
is,FAMILY
your,FAMILY
mother's,FAMILY
name?,FAMILY
what,FAMILY
is,FAMILY
your,FAMILY
mother's,FAMILY
name?,FAMILY
Do,FAMILY
you,FAMILY
have,FAMILY
parents?,FAMILY
do,FAMILY
you,FAMILY
have,FAMILY
parents?,FAMILY
Do,FAMILY
you,FAMILY
have,FAMILY
siblings?,FAMILY
do,FAMILY
you,FAMILY
have,FAMILY
siblings?,FAMILY
Are,SARCASM
you,SARCASM
a,SARCASM
God?,SARCASM
are,SARCASM
you,SARCASM
a,SARCASM
god?,SARCASM
How,SARCASM
old,SARCASM
are,SARCASM
you?,SARCASM
how,SARCASM
old,SARCASM
are,SARCASM
you?,SARCASM
Are,SARCASM
you,SARCASM
a,SARCASM
man?,SARCASM
are,SARCASM
you,SARCASM
a,SARCASM
man?,SARCASM
Are,SARCASM
you,SARCASM
a,SARCASM
bot?,SARCASM
are,SARCASM
you,SARCASM
a,SARCASM
bot?,SARCASM
Do,SARCASM
you,SARCASM
have,SARCASM
a,SARCASM
job?,SARCASM
do,SARCASM
you,SARCASM
have,SARCASM
a,SARCASM
job?,SARCASM
Who,SARCASM
is,SARCASM
your,SARCASM
best,SARCASM
friend?,SARCASM
who,SARCASM
is,SARCASM
your,SARCASM
best,SARCASM
friend?,SARCASM
Am,SARCASM
I,SARCASM
your,SARCASM
friend?,SARCASM
am,SARCASM
I,SARCASM
your,SARCASM
friend?,SARCASM
How,WELLNESS
are,WELLNESS
you?,WELLNESS
How,WELLNESS
you,WELLNESS
doing?,WELLNESS
How,WELLNESS
are,WELLNESS
you,WELLNESS
doing?,WELLNESS
Are,WELLNESS
you,WELLNESS
doing,WELLNESS
well?,WELLNESS
Are,WELLNESS
you,WELLNESS
okay?,WELLNESS
Are,WELLNESS
you,WELLNESS
fine?,WELLNESS
Are,WELLNESS
you,WELLNESS
doing,WELLNESS
okay?,WELLNESS
How,ENQUIREABOUTDAY
was,ENQUIREABOUTDAY
your,ENQUIREABOUTDAY
day?,ENQUIREABOUTDAY
How,ENQUIREABOUTDAY
is,ENQUIREABOUTDAY
your,ENQUIREABOUTDAY
day,ENQUIREABOUTDAY
going?,ENQUIREABOUTDAY
How,ENQUIREABOUTDAY
is,ENQUIREABOUTDAY
your,ENQUIREABOUTDAY
day?,ENQUIREABOUTDAY
I,ASKINGHELP
need,ASKINGHELP
help!,ASKINGHELP
Need,ASKINGHELP
help!,ASKINGHELP
Help,ASKINGHELP
me,ASKINGHELP
please,ASKINGHELP
Help,ASKINGHELP
me,ASKINGHELP
Can,ASKINGHELP
you,ASKINGHELP
do,ASKINGHELP
something,ASKINGHELP
for,ASKINGHELP
me?,ASKINGHELP
Answer,ASKINGHELP
my,ASKINGHELP
question,ASKINGHELP
Who,OUTOFSCOPE
is,OUTOFSCOPE
the,OUTOFSCOPE
President?,OUTOFSCOPE
Who,OUTOFSCOPE
is,OUTOFSCOPE
the,OUTOFSCOPE
Prime,OUTOFSCOPE
Minister?,OUTOFSCOPE
What,OUTOFSCOPE
is,OUTOFSCOPE
my,OUTOFSCOPE
mother's,OUTOFSCOPE
name?,OUTOFSCOPE
Are,OUTOFSCOPE
you,OUTOFSCOPE
a,OUTOFSCOPE
supporter,OUTOFSCOPE
of,OUTOFSCOPE
BJP?,OUTOFSCOPE
Are,OUTOFSCOPE
you,OUTOFSCOPE
active,OUTOFSCOPE
in,OUTOFSCOPE
politics?,OUTOFSCOPE
Wassup?,WASSUP
What,WASSUP
are,WASSUP
you,WASSUP
doing?,WASSUP
What,WASSUP
is,WASSUP
up,WASSUP
with,WASSUP
you?,WASSUP
What,WASSUP
are,WASSUP
you,WASSUP
up,WASSUP
to?,WASSUP
How,WASSUP
is,WASSUP
it,WASSUP
going?,WASSUP
Who,INTRO
are,INTRO
you?,INTRO
What,INTRO
is,INTRO
this?,INTRO
I'm,SYMPTOMS
experiencing,SYMPTOMS
symptoms,SYMPTOMS
I,SYMPTOMS
feel,SYMPTOMS
unwell,SYMPTOMS
mentally,SYMPTOMS
Do,THERAPY
you,THERAPY
recommend,THERAPY
therapy?,THERAPY
Should,THERAPY
I,THERAPY
see,THERAPY
a,THERAPY
therapist?,THERAPY
How,SELF_CARE
can,SELF_CARE
I,SELF_CARE
practice,SELF_CARE
self-care?,SELF_CARE
What,SELF_CARE
are,SELF_CARE
some,SELF_CARE
self-care,SELF_CARE
tips?,SELF_CARE
Should,MEDICATION
I,MEDICATION
take,MEDICATION
medication?,MEDICATION
Do,MEDICATION
I,MEDICATION
need,MEDICATION
medication,MEDICATION
for,MEDICATION
my,MEDICATION
mental,MEDICATION
health?,MEDICATION
I,SUPPORT_SYSTEM
feel,SUPPORT_SYSTEM
alone,SUPPORT_SYSTEM
I,SUPPORT_SYSTEM
don't,SUPPORT_SYSTEM
have,SUPPORT_SYSTEM
anyone,SUPPORT_SYSTEM
to,SUPPORT_SYSTEM
talk,SUPPORT_SYSTEM
to,SUPPORT_SYSTEM
I'm,ENCOURAGEMENT
struggling,ENCOURAGEMENT
to,ENCOURAGEMENT
cope,ENCOURAGEMENT
I,ENCOURAGEMENT
don't,ENCOURAGEMENT
know,ENCOURAGEMENT
how,ENCOURAGEMENT
to,ENCOURAGEMENT
deal,ENCOURAGEMENT
with,ENCOURAGEMENT
this,ENCOURAGEMENT
I'm,GRATITUDE
grateful,GRATITUDE
for,GRATITUDE
your,GRATITUDE
help,GRATITUDE
Thank,GRATITUDE
you,GRATITUDE
for,GRATITUDE
being,GRATITUDE
here,GRATITUDE
I'm,FEELING_BAD
feeling,FEELING_BAD
down,FEELING_BAD
I'm,FEELING_BAD
sad,FEELING_BAD
Feeling,FEELING_BAD
low,FEELING_BAD
I'm,POSITIVE_AFFIRMATION
feeling,POSITIVE_AFFIRMATION
better,POSITIVE_AFFIRMATION
I,POSITIVE_AFFIRMATION
feel,POSITIVE_AFFIRMATION
good,POSITIVE_AFFIRMATION
Feeling,POSITIVE_AFFIRMATION
positive,POSITIVE_AFFIRMATION
Do,RESOURCES
you,RESOURCES
have,RESOURCES
any,RESOURCES
resources?,RESOURCES
Where,RESOURCES
can,RESOURCES
I,RESOURCES
find,RESOURCES
help?,RESOURCES
